accession	category	organism	description
WP_487082200.1	Hfq	Colwellia aquaemaris	RNA chaperone Hfq
WP_166839038.1	Hfq	Rheinheimera	MULTISPECIES: RNA chaperone Hfq
WP_031568600.1	Hfq	Rheinheimera	MULTISPECIES: RNA chaperone Hfq
WP_490580416.1	Hfq	Pseudoalteromonas sp. J2K-J031	RNA chaperone Hfq
WP_490310689.1	Hfq	Pseudoalteromonas sp. J2K-J979	RNA chaperone Hfq
WP_487193244.1	Hfq	Pseudoalteromonas tetraodonis	RNA chaperone Hfq
WP_404393334.1	Hfq	Pseudoalteromonas	MULTISPECIES: RNA chaperone Hfq
WP_488032936.1	Hfq	Psychrosphaera sp.	RNA chaperone Hfq
WP_287947038.1	Hfq	Shewanella	MULTISPECIES: RNA chaperone Hfq
WP_484619985.1	Hfq	Ferrimonas sp. YIN67	RNA chaperone Hfq
WP_487315469.1	Hfq	Gallaecimonas sp. RL-SH01	RNA chaperone Hfq
WP_061237443.1	Hfq	Pseudomonadaceae	MULTISPECIES: RNA chaperone Hfq
WP_095109354.1	Hfq	Pseudomonas	MULTISPECIES: RNA chaperone Hfq
WP_053100337.1	Hfq	Thiopseudomonas	MULTISPECIES: RNA chaperone Hfq
WP_488113981.1	Hfq	Endozoicomonas sp. Z74	RNA chaperone Hfq
WP_281645804.1	Hfq	unclassified Parendozoicomonas	MULTISPECIES: RNA chaperone Hfq
WP_487962800.1	Hfq	Marinagarivorans sp.	RNA chaperone Hfq
WP_488833687.1	Hfq	Cellvibrio sp. 25HG11W-0	RNA chaperone Hfq
WP_487154672.1	Hfq	Halopseudomonas sp. 4NH20-0008	RNA chaperone Hfq
WP_484189755.1	Hfq	Motiliproteus sp.	RNA chaperone Hfq
WP_055464247.1	Hfq	Marinomonas	MULTISPECIES: RNA chaperone Hfq
WP_086481701.1	Hfq	Oceanospirillum	MULTISPECIES: RNA chaperone Hfq
WP_473034231.1	Hfq	Halomonadaceae	MULTISPECIES: RNA chaperone Hfq
WP_225676061.1	Hfq	Thalassolituus	MULTISPECIES: RNA chaperone Hfq
WP_305903468.1	Hfq	Hahella	MULTISPECIES: RNA chaperone Hfq
WP_454465455.1	Hfq	Aliikangiella aequoris	RNA chaperone Hfq
WP_483908561.1	Hfq	Alcanivorax sp.	RNA chaperone Hfq
WP_484230096.1	Hfq	Perlucidibaca sp.	RNA chaperone Hfq
WP_490371214.1	Hfq	Alcanivorax sp.	RNA chaperone Hfq
WP_490627060.1	Hfq	Rhodoferax sp. SPJ4	RNA chaperone Hfq
WP_488665467.1	Hfq	Comamonas sp. 14P8.1.4	RNA chaperone Hfq
WP_213360738.1	Hfq	Allobrachymonas	MULTISPECIES: RNA chaperone Hfq
WP_484632308.1	Hfq	Hydrogenophaga sp. T66	RNA chaperone Hfq
WP_486008653.1	Hfq	Ottowia sp.	RNA chaperone Hfq
WP_318404667.1	Hfq	Polaromonas	MULTISPECIES: RNA chaperone Hfq
WP_482575343.1	Hfq	Rhodoferax sp.	RNA chaperone Hfq
WP_456164917.1	Hfq	Leptothrix mechoopdaensis	RNA chaperone Hfq
WP_009453400.1	Hfq	Leptothrix	MULTISPECIES: RNA chaperone Hfq
WP_489466832.1	Hfq	Rhizobacter sp.	RNA chaperone Hfq
WP_488811840.1	Hfq	Aquitalea sp. FG25	RNA chaperone Hfq
WP_108950774.1	Hfq	Parazoarcus	MULTISPECIES: RNA chaperone Hfq
WP_484272484.1	Hfq	Quisquiliibacterium sp.	RNA chaperone Hfq
WP_484640043.1	Hfq	Aquabacterium sp. T101	RNA chaperone Hfq
WP_488698136.1	Hfq	Cupriavidus sp. 291-E7	RNA chaperone Hfq
WP_486948255.1	Hfq	Paenalcaligenes sp. DL 309	RNA chaperone Hfq
WP_325443306.1	Hfq	Pusillimonas sp.	RNA chaperone Hfq
WP_447124199.1	Hfq	unclassified Glaciimonas	MULTISPECIES: RNA chaperone Hfq
WP_487496315.1	Hfq	Eikenella corrodens	RNA chaperone Hfq
WP_485946938.1	Hfq	Kingella oralis	RNA chaperone Hfq
WP_485929066.1	Hfq	Kingella sp. (in: b-proteobacteria)	RNA chaperone Hfq
WP_485918590.1	Hfq	Kingella denitrificans	RNA chaperone Hfq
WP_314271880.1	Hfq	Kingella sp. (in: b-proteobacteria)	RNA chaperone Hfq
WP_292916613.1	Hfq	Nitrosomonas	MULTISPECIES: RNA chaperone Hfq
WP_488642977.1	Hfq	Glaciimonas sp. OK215	RNA chaperone Hfq
WP_486866463.1	Hfq	Parasutterella excrementihominis	RNA chaperone Hfq
WP_487506810.1	Hfq	Candidatus Thiopontia autotrophica	RNA chaperone Hfq
WP_489827564.1	Hfq	Legionella pneumophila	RNA chaperone Hfq
WP_454781520.1	Hfq	Legionella	MULTISPECIES: RNA chaperone Hfq
WP_483479589.1	Hfq	Caballeronia sp. 11_S32	RNA chaperone Hfq
WP_487306118.1	Hfq	Caballeronia sp. A2-2	RNA chaperone Hfq
WP_487305282.1	Hfq	Caballeronia sp. A2-2	RNA chaperone Hfq
WP_045240544.1	Hfq	Cupriavidus sp. F041	RNA chaperone Hfq
WP_488729542.1	Hfq	Cupriavidus sp. 96C5-1	RNA chaperone Hfq
WP_488728932.1	Hfq	Cupriavidus sp. 96C5-1	RNA chaperone Hfq
WP_483714782.1	Hfq	Cupriavidus sp. C3SS-1	RNA chaperone Hfq
WP_017227929.1	Hfq	Cupriavidus sp. 96C5-1	RNA chaperone Hfq
WP_487293067.1	Hfq	Burkholderia cenocepacia	RNA chaperone Hfq, partial
WP_483119855.1	Hfq	Mycetohabitans rhizoxinica	RNA chaperone Hfq
WP_488891282.1	Hfq	Caballeronia sp. SL1002	RNA chaperone Hfq
WP_005030511.1	Hfq	Acinetobacter	MULTISPECIES: RNA chaperone Hfq
WP_488846405.1	Hfq	Acinetobacter baumannii	RNA chaperone Hfq, partial
WP_488803858.1	Hfq	Acinetobacter baumannii	RNA chaperone Hfq
WP_131380545.1	Hfq	Acinetobacter brisouisimilis	RNA chaperone Hfq, partial
WP_486801395.1	Hfq	Sulfuriflexus sp.	RNA chaperone Hfq
WP_485982871.1	Hfq	Cardiobacterium sp.	RNA chaperone Hfq
WP_486044724.1	Hfq	Thiomicrorhabdus sp.	RNA chaperone Hfq
WP_484129588.1	Hfq	Hydrogenovibrio sp.	RNA chaperone Hfq
WP_490504945.1	Hfq	Ignatzschineria sp. 22MB058224	RNA chaperone Hfq
WP_483165449.1	Hfq	unclassified Acidithiobacillus	MULTISPECIES: RNA chaperone Hfq
WP_486881171.1	Hfq	Acidithiobacillus sp. TH-A117	RNA chaperone Hfq
WP_489303377.1	Hfq	Stenotrophomonas sp. GL_111	RNA chaperone Hfq
WP_487631065.1	Hfq	Luteimonas sp. Soil_N_1	RNA chaperone Hfq
WP_334131639.1	Hfq	Silanimonas	MULTISPECIES: RNA chaperone Hfq
WP_490479944.1	Hfq	Dyella sp. SYSU CM1112	RNA chaperone Hfq
WP_489003893.1	Hfq	Rhodanobacter soli	RNA chaperone Hfq
WP_488385000.1	Hfq	Frateuria sp. sgz306004	RNA chaperone Hfq
WP_488634323.1	Hfq	Dyella sp. OK584	RNA chaperone Hfq
WP_490376079.1	Hfq	Psychromonas sp.	RNA chaperone Hfq
WP_489732230.1	Hfq	Paraglaciecola sp. IT1134	RNA chaperone Hfq
WP_487075845.1	Hfq	Alteromonas sp. 5NS40-0096	RNA chaperone Hfq
WP_297817666.1	Hfq	Paraglaciecola sp.	RNA chaperone Hfq
WP_488172342.1	Hfq	Francisella sp. AG1	RNA chaperone Hfq
WP_485404243.1	Hfq	Pampinifervens	MULTISPECIES: RNA chaperone Hfq
WP_379210080.1	Hfq	unclassified Paenibacillus	MULTISPECIES: RNA chaperone Hfq
WP_489609707.1	Hfq	Aeromonas enteropelogenes	RNA chaperone Hfq
NP_963332.1	SmAP (archaea)	Nanoarchaeum equitans Kin4-M	hypothetical protein NEQ037
XP_003123072.2	Lsm (eukaryote)	Sus scrofa	U6 snRNA-associated Sm-like protein LSm7
XP_054321453.2	Lsm (eukaryote)	Pongo pygmaeus	U6 snRNA-associated Sm-like protein LSm7
XP_007460498.1	Lsm (eukaryote)	Lipotes vexillifer	U6 snRNA-associated Sm-like protein LSm7
XP_080570031.1	Lsm (eukaryote)	Muscardinus avellanarius	U6 snRNA-associated Sm-like protein LSm7
XP_035142078.1	Lsm (eukaryote)	Callithrix jacchus	U6 snRNA-associated Sm-like protein LSm7
XP_010964967.2	Lsm (eukaryote)	Camelus bactrianus	U6 snRNA-associated Sm-like protein LSm7
XP_084354467.1	Lsm (eukaryote)	Aythya ferina	U6 snRNA-associated Sm-like protein LSm7
NP_001376330.1	Lsm (eukaryote)	Gallus gallus	U6 snRNA-associated Sm-like protein LSm7 isoform 2
XP_084579551.1	Lsm (eukaryote)	Lutjanus erythropterus	U6 snRNA-associated Sm-like protein LSm7
XP_020468691.1	Lsm (eukaryote)	Monopterus albus	U6 snRNA-associated Sm-like protein LSm7
NP_001134195.1	Lsm (eukaryote)	Salmo salar	LSM7 homolog, U6 small nuclear RNA associated
XP_033477132.1	Lsm (eukaryote)	Epinephelus lanceolatus	U6 snRNA-associated Sm-like protein LSm7 isoform X1
XP_027145931.1	Lsm (eukaryote)	Larimichthys crocea	U6 snRNA-associated Sm-like protein LSm7 isoform X1
XP_029466657.1	Lsm (eukaryote)	Rhinatrema bivittatum	U6 snRNA-associated Sm-like protein LSm7 isoform X1
XP_075706128.1	Lsm (eukaryote)	Rhinoderma darwinii	U6 snRNA-associated Sm-like protein LSm7 isoform X1
XP_083340396.1	Lsm (eukaryote)	Podarcis liolepis	U6 snRNA-associated Sm-like protein LSm7 isoform 1
XP_080215398.1	Lsm (eukaryote)	Nesoenas mayeri	U6 snRNA-associated Sm-like protein LSm7 isoform 1
XP_077188467.1	Lsm (eukaryote)	Paroedura picta	U6 snRNA-associated Sm-like protein LSm7 isoform X3
XP_073454920.1	Lsm (eukaryote)	Aquarana catesbeiana	U6 snRNA-associated Sm-like protein LSm7 isoform X1
XP_083736143.1	Lsm (eukaryote)	Zosterops lateralis	U6 snRNA-associated Sm-like protein LSm7 isoform 5
XP_039422308.1	Lsm (eukaryote)	Corvus cornix cornix	U6 snRNA-associated Sm-like protein LSm7 isoform X1
XP_073401313.1	Lsm (eukaryote)	Dendrobates tinctorius	U6 snRNA-associated Sm-like protein LSm7 isoform X2
XP_073401303.1	Lsm (eukaryote)	Dendrobates tinctorius	U6 snRNA-associated Sm-like protein LSm7 isoform X1
XP_060485775.1	Lsm (eukaryote)	Panthera onca	U6 snRNA-associated Sm-like protein LSm7
XP_034513319.1	Lsm (eukaryote)	Ailuropoda melanoleuca	U6 snRNA-associated Sm-like protein LSm7
XP_075854461.1	Lsm (eukaryote)	Microcebus murinus	U6 snRNA-associated Sm-like protein LSm7 isoform X2
XP_077884638.1	Lsm (eukaryote)	Ictidomys tridecemlineatus	U6 snRNA-associated Sm-like protein LSm7 isoform X3
XP_033710756.1	Lsm (eukaryote)	Tursiops truncatus	U6 snRNA-associated Sm-like protein LSm7 isoform X2
XP_073659615.1	Lsm (eukaryote)	Tursiops truncatus	U6 snRNA-associated Sm-like protein LSm7 isoform X1
XP_075831533.1	Lsm (eukaryote)	Microtus pennsylvanicus	U6 snRNA-associated Sm-like protein LSm7 isoform X1
XP_067976212.1	Lsm (eukaryote)	Myxine glutinosa	U6 snRNA-associated Sm-like protein LSm7
XP_078473445.1	Lsm (eukaryote)	Lampetra planeri	U6 snRNA-associated Sm-like protein LSm7 isoform X1
XP_046920203.1	Lsm (eukaryote)	Dermatophagoides farinae	U6 snRNA-associated Sm-like protein LSm7
XP_037084174.1	Lsm (eukaryote)	Pollicipes pollicipes	U6 snRNA-associated Sm-like protein LSm7 isoform X1
XP_080138143.1	Lsm (eukaryote)	Coenobita brevimanus	U6 snRNA-associated Sm-like protein LSm7
XP_076043977.1	Lsm (eukaryote)	Oratosquilla oratoria	U6 snRNA-associated Sm-like protein LSm7
XP_076328326.1	Lsm (eukaryote)	Tachypleus tridentatus	U6 snRNA-associated Sm-like protein LSm7 isoform X2
XP_074603316.1	Lsm (eukaryote)	Brevipalpus obovatus	U6 snRNA-associated Sm-like protein LSm7
XP_003745625.1	Lsm (eukaryote)	Galendromus occidentalis	U6 snRNA-associated Sm-like protein LSm7
XP_037271785.1	Lsm (eukaryote)	Rhipicephalus microplus	U6 snRNA-associated Sm-like protein LSm7
XP_083162430.1	Lsm (eukaryote)	Anopheles minimus	U6 snRNA-associated Sm-like protein LSm7
XP_037052266.1	Lsm (eukaryote)	Bradysia coprophila	U6 snRNA-associated Sm-like protein LSm7
XP_017461601.1	Lsm (eukaryote)	Rhagoletis zephyria	U6 snRNA-associated Sm-like protein LSm7
XP_073821815.1	Lsm (eukaryote)	Musca autumnalis	U6 snRNA-associated Sm-like protein LSm7
XP_060649769.1	Lsm (eukaryote)	Drosophila nasuta	U6 snRNA-associated Sm-like protein LSm7
XP_072944634.1	Lsm (eukaryote)	Epargyreus clarus	U6 snRNA-associated Sm-like protein LSm7
XP_077295819.1	Lsm (eukaryote)	Arctopsyche grandis	U6 snRNA-associated Sm-like protein LSm7 isoform X1
XP_076274945.1	Lsm (eukaryote)	Rhynchophorus ferrugineus	U6 snRNA-associated Sm-like protein LSm7
XP_081844058.1	Lsm (eukaryote)	Ips typographus	U6 snRNA-associated Sm-like protein LSm7 isoform X1
XP_072377595.1	Lsm (eukaryote)	Diabrotica undecimpunctata	U6 snRNA-associated Sm-like protein LSm7
XP_082968413.1	Lsm (eukaryote)	Lepisma saccharinum	U6 snRNA-associated Sm-like protein LSm7
XP_075217142.1	Lsm (eukaryote)	Lycorma delicatula	U6 snRNA-associated Sm-like protein LSm7
XP_073992986.1	Lsm (eukaryote)	Rhodnius prolixus	U6 snRNA-associated Sm-like protein LSm7
XP_046392609.1	Lsm (eukaryote)	Ischnura elegans	U6 snRNA-associated Sm-like protein LSm7
XP_011497523.1	Lsm (eukaryote)	Ceratosolen solmsi marchali	LOW QUALITY PROTEIN: U6 snRNA-associated Sm-like protein LSm7
XP_076670810.1	Lsm (eukaryote)	Andrena cerasifolii	U6 snRNA-associated Sm-like protein LSm7
XP_077267725.1	Lsm (eukaryote)	Temnothorax americanus	U6 snRNA-associated Sm-like protein LSm7
XP_080021329.1	Lsm (eukaryote)	Acartia tonsa	U6 snRNA-associated Sm-like protein LSm7
XP_020433952.1	Lsm (eukaryote)	Heterostelium album PN500	U6 snRNA-associated Sm-like protein LSm7
XP_083050000.1	Lsm (eukaryote)	Amphichorda felina	Sm-like protein LSM7
XP_002146001.1	Lsm (eukaryote)	Talaromyces marneffei ATCC 18224	U6 snRNA-associated Sm-like protein LSm7
XP_026616714.1	Lsm (eukaryote)	Aspergillus thermomutatus	putative small nuclear ribonucleoprotein (LSM7)
XP_043135103.1	Lsm (eukaryote)	Aspergillus chevalieri	putative small nuclear ribonucleoprotein (LSM7)
XP_045947731.1	Lsm (eukaryote)	Aspergillus melleus	putative small nuclear ribonucleoprotein (LSM7)
XP_076495437.1	Lsm (eukaryote)	Mrakia frigida	Sm-like protein LSM7
XP_076502888.1	Lsm (eukaryote)	Rhodotorula paludigena	Sm-like protein LSM7
XP_065958273.1	Sm-core (eukaryote)	Clavispora lusitaniae	Sm-like protein
XP_076539811.1	Lsm (eukaryote)	Blastobotrys vanleenenianus	Sm-like protein LSM7
XP_020049073.1	Lsm (eukaryote)	Ascoidea rubescens DSM 1968	Sm-like protein LSM7, partial
XP_006685581.1	Sm-core (eukaryote)	Yamadazyma tenuis	Sm-like protein
XP_020073272.1	Lsm (eukaryote)	Williopsis jadinii	Sm-like protein LSM7
XP_064714295.1	Lsm (eukaryote)	Arxiozyma heterogenica	Sm-like protein LSM7 PWA37_001858
XP_041406045.1	Lsm (eukaryote)	Maudiozyma barnettii	Sm-like protein LSM7
XP_022466022.1	Lsm (eukaryote)	Huiozyma naganishii CBS 8797	Sm-like protein LSM7 KNAG_0H03630
XP_003957793.1	Lsm (eukaryote)	Kazachstania africana CBS 2517	Sm-like protein LSM7 KAFR_0F00610
XP_003675166.1	Lsm (eukaryote)	Naumovozyma castellii	Sm-like protein LSM7 NCAS_0B07110
XP_003668722.1	Lsm (eukaryote)	Naumovozyma dairenensis CBS 421	Sm-like protein LSM7 NDAI_0B04440
XP_056079086.1	Lsm (eukaryote)	Saccharomyces mikatae IFO 1815	Sm-like protein LSM7 SMKI_14G1760
XP_018219735.1	Lsm (eukaryote)	Saccharomyces eubayanus	Sm-like protein LSM7
XP_056084658.1	Lsm (eukaryote)	Saccharomyces kudriavzevii IFO 1802	Sm-like protein LSM7 SKDI_14G1760
XP_447956.1	Lsm (eukaryote)	Nakaseomyces glabratus	Sm-like protein LSM7 GVI51_J05577
XP_004178471.1	Lsm (eukaryote)	Henningerozyma blattae CBS 6284	Sm-like protein LSM7 TBLA_0B01090
XP_001646430.1	Lsm (eukaryote)	Vanderwaltozyma polyspora DSM 70294	Sm-like protein LSM7 Kpol_1048p2
XP_003687072.1	Lsm (eukaryote)	Tetrapisispora phaffii CBS 4417	Sm-like protein LSM7 TPHA_0I01310
XP_037145908.1	Lsm (eukaryote)	Zygotorulaspora mrakii	Sm-like protein LSM7 HG535_0G00670
XP_003679823.1	Lsm (eukaryote)	Torulaspora delbrueckii	Sm-like protein LSM7 TDEL_0B04830
XP_002498245.1	Lsm (eukaryote)	Zygosaccharomyces rouxii	Sm-like protein LSM7
XP_017986374.1	Lsm (eukaryote)	Eremothecium sinecaudum	Sm-like protein LSM7
NP_985600.2	Lsm (eukaryote)	Eremothecium gossypii ATCC 10895	Sm-like protein LSM7
XP_003647575.1	Lsm (eukaryote)	Eremothecium cymbalariae DBVPG#7215	Sm-like protein LSM7 Ecym_6383
XP_022628073.1	Lsm (eukaryote)	Lachancea lanzarotensis	Sm-like protein LSM7 LALA0_S04e01926g
XP_002552044.1	Lsm (eukaryote)	Lachancea thermotolerans CBS 6340	Sm-like protein LSM7
XP_022674245.1	Lsm (eukaryote)	Kluyveromyces marxianus DMKU3-1042	Sm-like protein LSM7
XP_454984.1	Lsm (eukaryote)	Kluyveromyces lactis	Sm-like protein LSM7
XP_045935292.1	Lsm (eukaryote)	Saccharomycodes ludwigii	Sm-like protein LSM7 SCDLUD_002851
XP_060975577.1	Sm-core (eukaryote)	Lodderomyces elongisporus	Sm-like protein
AAK41053.1	SmAP (archaea)	Saccharolobus solfataricus P2	Small nuclear riboprotein protein (snRNP-2)
AAL63028.1	SmAP (archaea)	Pyrobaculum aerophilum str. IM2	small nuclear ribonucleoprotein homolog (Sm-like)
AAY80570.1	SmAP (archaea)	Sulfolobus acidocaldarius DSM 639	hypothetical protein Saci_1224
NP_111594.1	SmAP (archaea)	Thermoplasma volcanium GSS1	small nuclear ribonucleoprotein (snRNP)-like protein
AAT43306.1	SmAP (archaea)	Picrophilus oshimae DSM 9789	snRNP Sm-like protein
NP_069198.1	SmAP (archaea)	Archaeoglobus fulgidus DSM 4304	snRNP
AAM04828.1	SmAP (archaea)	Methanosarcina acetivorans C2A	Sm protein
ZP_00563110.1	Other		(not in type map)
ZP_01153344.1	SmAP (archaea)	Methanosaeta thermophila PT	Like-Sm ribonucleoprotein, core
XP_005673330.1	Lsm (eukaryote)	Sus scrofa	U6 snRNA-associated Sm-like protein LSm5 isoform X2
XP_077896005.1	Lsm (eukaryote)	Ictidomys tridecemlineatus	U6 snRNA-associated Sm-like protein LSm5 isoform X2
XP_068858298.1	Lsm (eukaryote)	Aphelocoma coerulescens	U6 snRNA-associated Sm-like protein LSm5 isoform X2
XP_080831457.1	Lsm (eukaryote)	Podarcis pityusensis	U6 snRNA-associated Sm-like protein LSm5 isoform 2
XP_081143830.1	Lsm (eukaryote)	Spermophilus citellus	U6 snRNA-associated Sm-like protein LSm5 isoform 1
XP_077159492.1	Lsm (eukaryote)	Paroedura picta	U6 snRNA-associated Sm-like protein LSm5
XP_078541996.1	Lsm (eukaryote)	Lissotriton helveticus	U6 snRNA-associated Sm-like protein LSm5
XP_084714056.1	Lsm (eukaryote)	Heloderma suspectum	U6 snRNA-associated Sm-like protein LSm5 isoform X1
XP_039718621.1	Lsm (eukaryote)	Pteropus medius	U6 snRNA-associated Sm-like protein LSm5
XP_039318027.1	Lsm (eukaryote)	Saimiri boliviensis	U6 snRNA-associated Sm-like protein LSm5 isoform X2
XP_074388931.1	Lsm (eukaryote)	Zonotrichia albicollis	U6 snRNA-associated Sm-like protein LSm5 isoform X1
XP_080195193.1	Lsm (eukaryote)	Nesoenas mayeri	U6 snRNA-associated Sm-like protein LSm5 isoform 2
XP_055032422.1	Lsm (eukaryote)	Misgurnus anguillicaudatus	U6 snRNA-associated Sm-like protein LSm5 isoform X1
XP_020568450.1	Lsm (eukaryote)	Oryzias latipes	U6 snRNA-associated Sm-like protein LSm5 isoform X2
XP_079116239.1	Lsm (eukaryote)	Telmatherina bonti	U6 snRNA-associated Sm-like protein LSm5 isoform 2
XP_008303652.1	Lsm (eukaryote)	Stegastes partitus	U6 snRNA-associated Sm-like protein LSm5
XP_029935285.1	Lsm (eukaryote)	Myripristis murdjan	U6 snRNA-associated Sm-like protein LSm5
XP_077479881.1	Lsm (eukaryote)	Stigmatopora argus	U6 snRNA-associated Sm-like protein LSm5 isoform X1
XP_067982491.1	Lsm (eukaryote)	Myxine glutinosa	U6 snRNA-associated Sm-like protein LSm5 isoform X1
XP_073722843.1	Lsm (eukaryote)	Misgurnus anguillicaudatus	U6 snRNA-associated Sm-like protein LSm5 isoform X2
XP_079116238.1	Lsm (eukaryote)	Telmatherina bonti	U6 snRNA-associated Sm-like protein LSm5 isoform 1
XP_078396204.1	Lsm (eukaryote)	Cetorhinus maximus	U6 snRNA-associated Sm-like protein LSm5 isoform X1
XP_038665743.1	Lsm (eukaryote)	Scyliorhinus canicula	U6 snRNA-associated Sm-like protein LSm5 isoform X3
XP_078396205.1	Lsm (eukaryote)	Cetorhinus maximus	U6 snRNA-associated Sm-like protein LSm5 isoform X2
XP_072009344.1	Lsm (eukaryote)	Engystomops pustulosus	U6 snRNA-associated Sm-like protein LSm5
XP_084136462.1	Lsm (eukaryote)	Gallinula chloropus	U6 snRNA-associated Sm-like protein LSm5 isoform 1
XP_080195192.1	Lsm (eukaryote)	Nesoenas mayeri	U6 snRNA-associated Sm-like protein LSm5 isoform 1
XP_071437335.1	Lsm (eukaryote)	Pithys albifrons albifrons	U6 snRNA-associated Sm-like protein LSm5 isoform X1
XP_073534386.1	Lsm (eukaryote)	Phyllobates terribilis	U6 snRNA-associated Sm-like protein LSm5 isoform X1
XP_073406039.1	Lsm (eukaryote)	Dendrobates tinctorius	U6 snRNA-associated Sm-like protein LSm5 isoform X1
XP_070225608.1	Lsm (eukaryote)	Bos mutus	U6 snRNA-associated Sm-like protein LSm5 isoform X2
XP_073891362.1	Lsm (eukaryote)	Macaca fascicularis	U6 snRNA-associated Sm-like protein LSm5 isoform X2
XP_009000253.1	Lsm (eukaryote)	Callithrix jacchus	U6 snRNA-associated Sm-like protein LSm5 isoform X3
XP_009000252.1	Lsm (eukaryote)	Callithrix jacchus	U6 snRNA-associated Sm-like protein LSm5 isoform X2
XP_045243574.2	Lsm (eukaryote)	Macaca fascicularis	U6 snRNA-associated Sm-like protein LSm5 isoform X1
XP_020434347.1	Lsm (eukaryote)	Heterostelium album PN500	U6 snRNA-associated Sm-like protein LSm5
XP_083045997.1	Lsm (eukaryote)	Amphichorda felina	U6 snRNA-associated Sm-like protein LSm5
NP_001085500.1	Sm-core (eukaryote)	Xenopus laevis	small nuclear ribonucleoprotein polypeptide E S homeolog
XP_084830115.1	Sm-core (eukaryote)	Sus scrofa	small nuclear ribonucleoprotein E isoform X1
NP_001315567.1	Sm-core (eukaryote)	Homo sapiens	small nuclear ribonucleoprotein E isoform 4
NP_001315566.1	Sm-core (eukaryote)	Homo sapiens	small nuclear ribonucleoprotein E isoform 3
XP_080014868.1	Sm-core (eukaryote)	Acartia tonsa	small ribonucleoprotein particle protein SmE
XP_037071000.1	Sm-core (eukaryote)	Pollicipes pollicipes	small ribonucleoprotein particle protein SmE
XP_003747954.1	Sm-core (eukaryote)	Galendromus occidentalis	small ribonucleoprotein particle protein SmE
XP_037284416.1	Sm-core (eukaryote)	Rhipicephalus microplus	small ribonucleoprotein particle protein SmE
XP_080129879.1	Sm-core (eukaryote)	Coenobita brevimanus	small ribonucleoprotein particle protein SmE
XP_076062058.1	Sm-core (eukaryote)	Oratosquilla oratoria	small ribonucleoprotein particle protein SmE isoform X1
XP_062624009.1	Sm-core (eukaryote)	Vanrija pseudolonga	putative small nuclear ribonucleoprotein E
XP_065225990.1	Sm-core (eukaryote)	Planococcus citri	probable small nuclear ribonucleoprotein E
XP_072947342.1	Sm-core (eukaryote)	Epargyreus clarus	small ribonucleoprotein particle protein SmE
XP_060664483.1	Sm-core (eukaryote)	Drosophila nasuta	small ribonucleoprotein particle protein SmE
XP_037041580.1	Sm-core (eukaryote)	Bradysia coprophila	small ribonucleoprotein particle protein SmE
XP_084889218.1	Sm-core (eukaryote)	Anopheles oryzalimnetes	small ribonucleoprotein particle protein SmE
XP_066249892.1	Sm-core (eukaryote)	Euwallacea similis	probable small nuclear ribonucleoprotein E
XP_075226145.1	Sm-core (eukaryote)	Lycorma delicatula	small ribonucleoprotein particle protein SmE
XP_073968423.1	Sm-core (eukaryote)	Rhodnius prolixus	small ribonucleoprotein particle protein SmE
XP_067011300.1	Sm-core (eukaryote)	Anabrus simplex	probable small nuclear ribonucleoprotein E
XP_071449164.1	Sm-core (eukaryote)	Hetaerina americana	probable small nuclear ribonucleoprotein E
XP_018903892.1	Sm-core (eukaryote)	Bemisia tabaci	probable small nuclear ribonucleoprotein E
NP_001156839.1	Sm-core (eukaryote)	Acyrthosiphon pisum	small ribonucleoprotein particle protein SmE
XP_077287615.1	Sm-core (eukaryote)	Arctopsyche grandis	small ribonucleoprotein particle protein SmE
XP_066602871.1	Sm-core (eukaryote)	Prorops nasuta	probable small nuclear ribonucleoprotein E
XP_002146365.1	Lsm (eukaryote)	Talaromyces marneffei ATCC 18224	RNA-binding protein LSM5
XP_041556807.1	Lsm (eukaryote)	Aspergillus puulaauensis	RNA-binding protein LSM5
XP_069231350.1	Lsm (eukaryote)	Cladosporium halotolerans	U6 snRNA-associated Sm-like protein LSm5
XP_076540521.1	Lsm (eukaryote)	Blastobotrys vanleenenianus	RNA-binding protein LSM5
XP_076497130.1	Lsm (eukaryote)	Mrakia frigida	RNA-binding protein LSM5
XP_069205335.1	Lsm (eukaryote)	Vanrija albida	RNA-binding protein lsm5
XP_076508052.1	Lsm (eukaryote)	Rhodotorula paludigena	RNA-binding protein LSM5
XP_064853221.1	Lsm (eukaryote)	Saccharomycopsis crataegensis	RNA-binding protein LSM5
XP_020049914.1	Lsm (eukaryote)	Ascoidea rubescens DSM 1968	RNA-binding protein LSM5
XP_070911003.1	Lsm (eukaryote)	Nakaseomyces bracarensis	RNA-binding protein LSM5
XP_447542.1	Lsm (eukaryote)	Nakaseomyces glabratus	RNA-binding protein LSM5 GVI51_I06545
XP_003685501.1	Lsm (eukaryote)	Tetrapisispora phaffii CBS 4417	RNA-binding protein LSM5 TPHA_0D04330
XP_001644631.1	Lsm (eukaryote)	Vanderwaltozyma polyspora DSM 70294	RNA-binding protein LSM5 Kpol_526p26
XP_003673335.1	Lsm (eukaryote)	Naumovozyma castellii	RNA-binding protein LSM5 NCAS_0A03890
XP_003670396.1	Lsm (eukaryote)	Naumovozyma dairenensis CBS 421	RNA-binding protein LSM5 NDAI_0E03360
XP_064714462.1	Lsm (eukaryote)	Arxiozyma heterogenica	RNA-binding protein LSM5 PWA37_002030
